"Symbol","cor_th1_th2","cor_th1_th0","cor_th2_th0","cluster"
"Bzrap1",0.399148576326232,0.927949817329617,0.364804707604355,1
"Dnajc5b",-0.247153536083725,0.627038380341202,-0.304939975293321,1
"Snx10",-0.0757641829123426,0.910313313520485,-0.141496339088109,1
"Nagk",0.882201801711783,0.972486058708024,0.876430542988677,1
"H2-DMa.1",0.927277488738717,0.993768466325072,0.9230910665553,1
"Ube2q2.1",0.0502892583704968,0.939755119945688,-0.00571143831875442,1
"Upp1.1",0.839506738953221,0.934358938711449,0.833663948438868,1
"Niban",0.843351027984243,0.981092879868401,0.834869392686796,1
"Hbs1l",-0.291175347139897,0.858958385966523,-0.361040804223661,1
"Ang",0.330713785513037,0.558224475172455,0.316986991639451,1
"BC094916.1",0.169462323731957,0.929576648588665,0.10632881020442,1
"Glipr2.1",0.921080681605186,0.969652723045351,0.917053302839982,1
"Mef2c.1",0.239863220044745,0.90244987823991,0.184989180457706,1
"Ripk4.1",0.255656282999368,0.865133052099409,0.205193404933577,1
"Zfp30",0.78286896119166,0.951429540632924,0.768683106869775,1
"BC094916",-0.0998912618159385,0.856680986209021,-0.180180434224161,1
"Zbtb6",-0.502150718709551,0.280639930253138,-0.567715521578554,1
"Prm1",0.777348384001472,0.993353801707614,0.758812990987186,1
"Slc25a14",0.793908357158856,0.939915320129688,0.781153430139346,1
"Specc1l.1",0.907672975651523,0.988879924728272,0.901690046727727,1
"Tarbp2",0.194222044576364,0.757724474098086,0.151948150562985,1
"Zyx",-0.0318835391181331,0.927132815155606,-0.104818038781529,1
"Zmynd19",0.360229040637459,0.90156592112665,0.318129846626411,1
"Parp14",-0.200691196843376,0.726760915850731,-0.272199703122775,1
"Dusp10",0.832670350546242,0.955024836976203,0.823272951126037,1
"C330027C09Rik.1",0.589210635795349,0.789330024107904,0.573833337203021,1
"Rtp4",-0.45751908798899,0.933069084392432,-0.567630445608673,1
"Selenbp2",0.583531289688755,0.877916261813798,0.559768206199129,1
"1110038F14Rik",0.926796392952472,0.947452600260853,0.888341087588853,5
"Jag2",0.658221893298247,0.816296268164,0.363797843366388,5
"Tex264",0.785678275400256,0.808996918385608,0.742043704933824,5
"Gspt2",0.91244509217138,0.93967913801282,0.861449579328698,5
"Hrc",0.735898191717934,0.742134062371462,0.723962732435733,5
"Bcr.2",0.754100682633664,0.880813286128979,0.511331088987003,5
"Sgk3.1",0.735236280933509,0.872257180099984,0.473865219963832,5
"Angel2",0.950319978148615,0.955939991550355,0.939588508589843,5
"Aspm",0.94072390584301,0.957300862197825,0.909522318956744,5
"Osbpl2",0.566505757521866,0.708390780032638,0.298934234864804,5
"Tigd2",0.915351308382364,0.955762431816272,0.838625704527162,5
"Nagk.1",0.873725703889629,0.923685508790252,0.779103688828677,5
"Lamp2.1",0.854271386109137,0.920270144637587,0.736305919197,5
"Dbndd2.2",0.496047833704641,0.763651681806673,0.0177640105592849,5
"Vamp4",0.672344576637149,0.807846553551337,0.432546957282257,5
"Ccdc123",0.905529988714611,0.914773828249301,0.889165542104923,5
"Scarb1",0.826839647712973,0.922186456500091,0.654566806886666,5
"Whdc1",0.843518339493919,0.850725661687294,0.830231270242108,5
"Stx5a",0.858597937591094,0.948702173803593,0.694602477512314,5
"Rapsn",0.787316291389876,0.852827779106309,0.66736040275845,5
"Ribc1",0.920778159066193,0.933888187129881,0.896795842085538,5
"Casp6.1",0.765736322551802,0.875921261302084,0.564386502427826,5
"Klhl26",0.955040058510054,0.969413471886539,0.928820443793413,5
"6720467C03Rik.1",0.958694859359114,0.983873866504587,0.912735204373226,5
"Ccdc50",0.975218716450364,0.985219912887865,0.954949525507915,5
"Pex10",0.946488752615747,0.976786893953356,0.885815870385844,5
"LOC433801.1",0.71212386087056,0.851680498272503,0.431114414807082,5
"Nlrx1",0.644346406286439,0.758248217172296,0.418007903097055,5
"Erdr1",0.594521831574309,0.804200229113974,0.180268574637371,5
"Cap1",0.908198666106127,0.922682342410429,0.880097830189426,5
"5730455P16Rik.1",0.787558116661023,0.828243791836544,0.708648276094957,5
"Stxbp1",0.560401923324031,0.715317907412418,0.256641765052466,5
"Gm867",0.676161279142376,0.78970079521604,0.453710822375628,5
"2610524H06Rik",0.511679661866243,0.649142238150889,0.218728300312153,5
"Lgals4.1",0.829619514774401,0.931145562262166,0.613001980660432,5
"Mboat5",0.519593755577887,0.640800501340625,0.256657237457546,5
"4930578C19Rik",0.497184171385251,0.664558697225328,0.136451252361071,5
"Tle2",0.397001293236397,0.439096550978269,0.306548013231154,5
"Nfatc2.2",0.332322990106501,0.573657448335731,-0.164879801262854,5
"Arhgap1",0.935908994088482,0.965190335212069,0.876081226226255,5
"Fgd1",0.694024833293981,0.726116458083594,0.628323673838486,5
"Klrk1",-0.0415314954992828,0.226243458748679,-0.603789032092608,5
"Gtse1.1",0.930475364886346,0.95315230024905,0.883275345409792,5
"Atg9a",0.915546867389137,0.924335699454869,0.897269858023368,5
"Top3b",0.733363109374708,0.840861665861839,0.50987657080583,5
"Sp140",0.903517156325499,0.9353466896585,0.84900592676655,5
"Ubl7",0.874519530794891,0.907193373340903,0.817845057827693,5
"6030446N20Rik.1",0.553482526225729,0.657974979097621,0.37146782269854,5
"Ptgir",0.853322496667703,0.905237672015847,0.765282135549075,5
"Azin1",0.665140290236443,0.837237988210076,0.372910780278105,5
"B230209C24Rik",0.245084727326285,0.478784374822222,-0.151705102923354,5
"4833439L19Rik",0.461904649647317,0.658629495700307,0.130146748526975,5
"Il10rb",0.889105110703483,0.924972970006153,0.828714846658367,5
"Setdb2",0.398138213561842,0.657302814344948,-0.0346008043555891,5
"Grina",0.975770181452267,0.987923392802589,0.955469285235447,5
"Pla1a",0.93862198795546,0.963791594632907,0.897173594049384,5
"LOC622404",0.8100503068232,0.905100376411672,0.65350823476536,5
"Cxcl16",0.661431393155471,0.834783107529231,0.374285871193652,5
"Cs",0.855665942510971,0.906493105639711,0.77159007085854,5
"Cyba",0.758653502099203,0.806851027359416,0.684712554837151,5
"Phf15.2",0.901429656357154,0.962369799138004,0.808044131506399,5
"Usp1",0.693905300281629,0.718881524725535,0.655395232876105,5
"Rab34",0.854564750373917,0.952173143520741,0.703556954539747,5
"5730403M16Rik",0.670935153742861,0.721184228749703,0.591747650621099,5
"1810026J23Rik",0.952328666569666,0.9661241607224,0.930604211152385,5
"1700023B02Rik",0.873512670755466,0.942733469506622,0.765570818364905,5
"Pigc",0.846642400714498,0.924765956194291,0.724238011822928,5
"Nrbp2",0.917071710760263,0.966301154890154,0.836328217506792,5
"Nts",0.0464842852888543,0.367700895269676,-0.480347128181457,5
"Kbtbd7.1",0.766733410017858,0.903908218610884,0.542215778266441,5
"Ndufc1.1",0.949023288640485,0.980264325923231,0.897946205468461,5
"Psme4",0.140433056368679,0.489541436409606,-0.428300578499376,5
"Golim4",0.710481026326327,0.877502623648681,0.439238195387919,5
"R3hdm1.2",0.50021217242967,0.640195841310546,0.273189406969929,5
"Rpl41",0.81266775326618,0.898214362045809,0.674063526934929,5
"Cyp4f16.1",0.859962212057793,0.931802074953701,0.745962290218349,5
"Luzp1",0.761696237478441,0.905288264905246,0.533106299630248,5
"H3f3a",0.628484850772492,0.702975354366288,0.50971472597383,5
"Taz",0.841278914400846,0.953613074116542,0.662002371364217,5
"Osm",0.934331422743627,0.96204178614788,0.889976546166564,5
"Ccdc102a",0.164731978312338,0.520484937301681,-0.405111264468116,5
"Hspb6",0.963761725688636,0.979958301163257,0.937802787223917,5
"Cd86",0.59024446510549,0.823962356570819,0.212575215115088,5
"Kctd17.1",0.937769077705964,0.976495219950107,0.875453311023405,5
