"annot","gene","celltype"
3,"Fjx1","Th0"
1,"D030074E01Rik","Th0"
2,"Ndrg2","Th0"
1,"Akap8l","Th0"
3,"Nola2","Th0"
2,"H1fx","Th0"
2,"Tmem121","Th0"
1,"Sort1","Th0"
2,"6430571L13Rik","Th0"
2,"Sdc4","Th0"
1,"Ccbl1","Th0"
2,"Rab3d","Th0"
3,"Pwp2","Th0"
1,"Ars2","Th0"
1,"Sema4f","Th0"
1,"Mycbp2","Th0"
2,"Rnf213","Th0"
1,"Edg6","Th0"
1,"Mll3","Th0"
1,"Wbp7","Th0"
2,"Gtse1","Th0"
2,"LOC626578","Th0"
2,"Thap4","Th0"
2,"Blmh","Th0"
2,"Nusap1","Th0"
2,"Ddit3","Th0"
3,"Stip1","Th0"
1,"Golga5","Th0"
3,"Heatr1","Th0"
3,"Nol8","Th0"
2,"Gstp1","Th0"
1,"Rapgef1","Th0"
1,"Chd7","Th0"
3,"Pla2g12a","Th0"
3,"BC026590","Th0"
1,"Foxk1","Th0"
3,"Ppan","Th0"
3,"Ch25h","Th0"
2,"Prkcbp1","Th0"
3,"Ide","Th0"
2,"D10Bwg1379e","Th0"
1,"Hcst","Th0"
2,"Pcgf1","Th0"
3,"Acy1","Th0"
3,"Armc6","Th0"
3,"Cd82","Th0"
3,"Msi2","Th0"
2,"Gnb2l1","Th0"
2,"Hus1","Th0"
1,"Ctsw","Th0"
3,"Bxdc1","Th0"
1,"Oma1","Th0"
2,"Dapl1","Th0"
3,"Eif4g2","Th0"
1,"D16H22S680E","Th0"
1,"Ski","Th0"
2,"Tlr7","Th0"
2,"Mtmr3","Th0"
3,"Cd160","Th0"
2,"Socs3","Th0"
3,"Ripk4","Th0"
2,"Dscr1l2","Th0"
2,"Vars","Th0"
3,"Ccnd2","Th0"
3,"2610029G23Rik","Th0"
3,"Mat2a","Th0"
3,"C130032J12Rik","Th0"
3,"Exosc2","Th0"
2,"Hap1","Th0"
2,"Foxm1","Th0"
2,"Usp18","Th0"
2,"Sgol1","Th0"
2,"Slc39a6","Th0"
2,"Ampd3","Th0"
2,"Lancl1","Th0"
1,"Ly9","Th0"
1,"Slc14a1","Th0"
3,"Rpl7l1","Th0"
2,"Slc39a8","Th0"
3,"Ifrd1","Th0"
2,"Smox","Th0"
1,"Il7r","Th0"
3,"Trub1","Th0"
2,"Nckap1","Th0"
3,"Polr2h","Th0"
2,"Atxn7l1","Th0"
2,"Ccna2","Th0"
1,"Crlf3","Th0"
2,"Copg2","Th0"
2,"Snrpa","Th0"
2,"Dtl","Th0"
2,"Eef2","Th0"
1,"Cd8b1","Th0"
2,"Zbp1","Th0"
2,"Vim","Th0"
1,"Usp52","Th0"
2,"Ly6a","Th0"
2,"Susd3","Th0"
2,"BC094916","Th0"
2,"Cenpn","Th0"
2,"Sh3kbp1","Th0"
3,"Guk1","Th0"
2,"Trpv2","Th0"
3,"Pou2af1","Th0"
2,"Gbp3","Th0"
2,"Snx3","Th0"
2,"Aldoa","Th0"
2,"Slc35d2","Th0"
1,"AI646023","Th0"
3,"Il21","Th0"
2,"Tmem180","Th0"
1,"Lgmn","Th0"
2,"Ccl5","Th0"
2,"Gja1","Th0"
3,"LOC667250","Th0"
2,"Angptl4","Th0"
1,"Itpr1","Th0"
2,"Ecm1","Th0"
2,"Paip2","Th0"
2,"Ufsp2","Th0"
2,"6430706D22Rik","Th0"
1,"Zdhhc14","Th0"
2,"Skp2","Th0"
1,"Gga3","Th0"
2,"Guca1a","Th0"
1,"Sppl3","Th0"
2,"Sec61b","Th0"
3,"Nhlrc1","Th0"
1,"Hsd3b2","Th0"
3,"Nr6a1","Th0"
1,"LOC56628","Th0"
2,"5730419I09Rik","Th0"
1,"Pnpla7","Th0"
2,"Dnalc1","Th0"
2,"Dynlt3","Th0"
1,"Atp8b4","Th0"
2,"Prickle3","Th0"
2,"Hist1h3a","Th0"
2,"2310007D09Rik","Th0"
2,"Ankrd37","Th0"
1,"Pank4","Th0"
1,"Tmed1","Th0"
3,"Mrps10","Th0"
2,"Pold2","Th0"
3,"Fasl","Th0"
2,"Rnpep","Th0"
2,"Ghitm","Th0"
2,"7530404M11Rik","Th0"
2,"Itgb5","Th0"
1,"Rgs10","Th0"
2,"Hist1h4b","Th0"
3,"Ccdc116","Th0"
2,"Mov10","Th0"
3,"Slamf1","Th0"
2,"Adssl1","Th0"
3,"Thoc3","Th0"
2,"Fzr1","Th0"
3,"Tnfrsf12a","Th0"
1,"Nuak2","Th0"
2,"Batf3","Th0"
2,"Mcm2","Th0"
2,"Vamp8","Th0"
1,"Cfp","Th0"
2,"Wdr76","Th0"
1,"BC030476","Th0"
1,"Impact","Th0"
3,"Maged1","Th0"
2,"Itga7","Th0"
3,"Plp1","Th0"
1,"Bclaf1","Th0"
2,"4632417K18Rik","Th0"
2,"Traf6","Th0"
2,"Fbxw17","Th0"
2,"Kif2c","Th0"
3,"Usp16","Th0"
3,"Gnat1","Th0"
2,"Nampt","Th0"
2,"Hdgf","Th0"
