annot,gene,celltype,annot_new
1,Ccdc116,Th0,1
2,Mov10,Th0,2
1,Slamf1,Th0,1
2,Adssl1,Th0,2
1,Thoc3,Th0,1
2,Fzr1,Th0,2
1,Tnfrsf12a,Th0,1
3,Nuak2,Th0,3
2,Batf3,Th0,2
2,Mcm2,Th0,2
2,Vamp8,Th0,2
3,Cfp,Th0,3
2,Wdr76,Th0,2
3,BC030476,Th0,3
3,Impact,Th0,3
1,Maged1,Th0,1
2,Itga7,Th0,2
1,Plp1,Th0,1
3,Bclaf1,Th0,3
2,4632417K18Rik,Th0,2
2,Traf6,Th0,2
2,Fbxw17,Th0,2
2,Kif2c,Th0,2
1,Usp16,Th0,1
1,Gnat1,Th0,1
2,Nampt,Th0,2
2,Hdgf,Th0,2
2,AI847670,Th0,2
3,Idua,Th0,3
2,Plek,Th0,2
3,Marcks,Th0,3
2,Cdca2,Th0,2
3,Smc6,Th0,3
3,Alkbh4,Th0,3
1,Tcfe3,Th0,1
3,Lck,Th0,3
3,Hdac5,Th0,3
2,Anxa9,Th0,2
3,Csnrp2,Th0,3
2,Nts,Th0,2
2,Pard6a,Th0,2
2,Cacnb3,Th0,2
3,Zzef1,Th0,3
3,Sox4,Th0,3
2,2900010M23Rik,Th0,2
3,Pik3r3,Th0,3
2,Foxq1,Th0,2
2,Rnaseh2b,Th0,2
3,Gramd1a,Th0,3
1,Eif3b,Th0,1
2,Fancd2,Th0,2
2,Kpna3,Th0,2
3,Pde4a,Th0,3
