"gene","Th1","Th2","category","model"
"H2-K1.1",0.592223185291997,0.367422106635081,"Ind","Th1/2"
"H2-M3",0.735895262899818,0.330250272270834,"Th1like","Th1/2"
"H2-Oa",0.687221515270277,0.510341383112733,"Th2like","Th1/2"
"H2-Q5.2",0.782781623996163,0.212652136853502,"Ind","Th1/2"
"H2-Q6",0.641625667968148,0.30606296606235,"Th1like","Th1/2"
"H2-Q7",0.585544747399321,0.245998350172282,"Th1like","Th1/2"
"H2-T10.1",0.646320344183758,0.647953746086258,"Th1like","Th1/2"
"H2-T23.1",0.447420105902644,0.382456153084773,"Ind","Th1/2"
"H2-T23.2",0.345561827826246,0.377955090386613,"Ind","Th1/2"
"H28",-0.0457174575415153,0.220148594118364,"Ind","Th1/2"
"Hcn2",0.565833588047418,0.720735714302195,"Superpos","Th1/2"
"Hcst",0.377612789664248,0.577295849909175,"Th2like","Th1/2"
"Hemk1",-0.214145054870495,1.05659580948758,"Th2like","Th1/2"
"Hipk2",0.313140963517748,0.785819177331206,"Th2like","Th1/2"
"Hmgn3",0.174129295307055,0.616846455045776,"Th2like","Th1/2"
"Hmgn3.1",0.106120226278517,0.701266645782999,"Th2like","Th1/2"
"Hnrpab",0.024402079460244,0.918080419802984,"Th2like","Th1/2"
"Hopx",0.121060178687004,0.229096662896091,"Ind","Th1/2"
"Hsd11b1.1",0.399290332195974,0.663620627571307,"Superpos","Th1/2"
"Hsd17b11.1",0.378206775185142,0.649702292341929,"Ind","Th1/2"
"Hsh2d",0.21126470303874,0.569738864562919,"Th2like","Th1/2"
"Icos",0.0245846348201269,0.902128696402014,"Th2like","Th1/2"
