"ftest","pvalue","gene","model"
"Th2vsMixed",0.0116887435345668,"Marcks","Th1/2"
"Th1vsMixed",8.11415857092949e-08,"Matk.1","Th1/2"
"Th2vsMixed",0.000705275007730269,"Matk.1","Th1/2"
"Th1vsMixed",2.36327376677119e-06,"Matk.2","Th1/2"
"Th2vsMixed",0.0256420295311674,"Matk.2","Th1/2"
"Th1vsMixed",0.00217632017930858,"Mef2c.2","Th1/2"
"Th2vsMixed",0.191226363995182,"Mef2c.2","Th1/2"
"Th1vsMixed",1.90086331667664e-05,"Mgll","Th1/2"
"Th2vsMixed",0.188786591859301,"Mgll","Th1/2"
"Th1vsMixed",2.77872832969763e-05,"Mgll.1","Th1/2"
"Th2vsMixed",0.930963430192211,"Mgll.1","Th1/2"
"Th1vsMixed",9.10033832160755e-07,"Mgll.2","Th1/2"
"Th2vsMixed",0.0713005854693008,"Mgll.2","Th1/2"
"Th1vsMixed",0.000633590235527983,"Mitd1","Th1/2"
"Th2vsMixed",0.520127869493793,"Mitd1","Th1/2"
"Th1vsMixed",0.208484694904571,"Mllt3.1","Th1/2"
"Th2vsMixed",0.199664256911727,"Mllt3.1","Th1/2"
"Th1vsMixed",0.00219228197754097,"Morc3","Th1/2"
"Th2vsMixed",0.944698072222953,"Morc3","Th1/2"
"Th1vsMixed",0.56353773164294,"Mov10","Th1/2"
"Th2vsMixed",0.174057989969946,"Mov10","Th1/2"
"Th1vsMixed",1.21808678474488e-05,"Mov10.1","Th1/2"
"Th2vsMixed",0.212023735879057,"Mov10.1","Th1/2"
"Th1vsMixed",0.0438915090199329,"Ms4a6b","Th1/2"
"Th2vsMixed",0.136250203110047,"Ms4a6b","Th1/2"
"Th1vsMixed",0.000107246828837961,"Ms4a6d.1","Th1/2"
"Th2vsMixed",0.00498644586155454,"Ms4a6d.1","Th1/2"
"Th1vsMixed",0.00198646789579896,"Msr2","Th1/2"
"Th2vsMixed",0.825840551445126,"Msr2","Th1/2"
"Th1vsMixed",0.634394517308289,"Mtap6.2","Th1/2"
"Th2vsMixed",0.662395274410795,"Mtap6.2","Th1/2"
"Th1vsMixed",0.0439169401538503,"Mtap6.3","Th1/2"
"Th2vsMixed",0.0183267172203472,"Mtap6.3","Th1/2"
"Th1vsMixed",5.15537065650794e-05,"Muc13","Th1/2"
"Th2vsMixed",0.70915429026685,"Muc13","Th1/2"
"Th1vsMixed",0.229522954776346,"Mx1","Th1/2"
"Th2vsMixed",0.0980681172253822,"Mx1","Th1/2"
"Th1vsMixed",0.000574308835857884,"Mxra8","Th1/2"
"Th2vsMixed",0.80204364059318,"Mxra8","Th1/2"
"Th1vsMixed",1.247630439768e-05,"Myo6.1","Th1/2"
"Th2vsMixed",0.000910057702237597,"Myo6.1","Th1/2"
"Th1vsMixed",0.00680627145083479,"Nat5","Th1/2"
"Th2vsMixed",0.256728763477767,"Nat5","Th1/2"
"Th1vsMixed",9.76685627026562e-05,"Nat5.2","Th1/2"
"Th2vsMixed",0.130454389721941,"Nat5.2","Th1/2"
"Th1vsMixed",0.145325357483102,"Nelf.1","Th1/2"
"Th2vsMixed",0.254653074396773,"Nelf.1","Th1/2"
"Th1vsMixed",0.000476807394890876,"Niban","Th1/2"
"Th2vsMixed",0.845665867127942,"Niban","Th1/2"
"Th1vsMixed",5.29115854372803e-07,"Nin","Th1/2"
"Th2vsMixed",0.0229920077608738,"Nin","Th1/2"
"Th1vsMixed",0.00129792528478371,"Nkg7","Th1/2"
"Th2vsMixed",0.527726276250127,"Nkg7","Th1/2"
"Th1vsMixed",5.01066391064882e-06,"Nod1","Th1/2"
"Th2vsMixed",0.00104789910796637,"Nod1","Th1/2"
"Th1vsMixed",0.00529951754882784,"Nqo2","Th1/2"
"Th2vsMixed",0.674458551153976,"Nqo2","Th1/2"
"Th1vsMixed",0.362244455189801,"Nrp1","Th1/2"
"Th2vsMixed",0.436815489421241,"Nrp1","Th1/2"
"Th1vsMixed",0.413971138195662,"Nrp1.1","Th1/2"
"Th2vsMixed",0.49580940533701,"Nrp1.1","Th1/2"
"Th1vsMixed",0.000662691995316678,"Ntrk3.1","Th1/2"
"Th2vsMixed",0.115917795746209,"Ntrk3.1","Th1/2"
"Th1vsMixed",0.0100080312345619,"Ntrk3.2","Th1/2"
"Th2vsMixed",0.195748362258934,"Ntrk3.2","Th1/2"
"Th1vsMixed",2.48846021093703e-06,"Nts","Th1/2"
"Th2vsMixed",0.462028725432222,"Nts","Th1/2"
"Th1vsMixed",0.00013906442167187,"Oas1b","Th1/2"
"Th2vsMixed",0.330084227892819,"Oas1b","Th1/2"
"Th1vsMixed",0.153641048849926,"Oas1g","Th1/2"
"Th2vsMixed",0.427923346034112,"Oas1g","Th1/2"
"Th1vsMixed",0.0871236798516258,"Oas1g.3","Th1/2"
"Th2vsMixed",0.730269705765845,"Oas1g.3","Th1/2"
"Th1vsMixed",0.000880050256053349,"Oas2","Th1/2"
"Th2vsMixed",0.866621029106979,"Oas2","Th1/2"
